;År;Kommunenr;Kommunenavn;Boligbebyggelse;Fritidsbebyggelse;Bebygd område for landbruk og fiske;Næring. offentlig og privat tjenesteyting;Undervisning og barnehage;Helse- og sosialinstitusjoner;Kultur og religiøse aktiviteter;Transport. telekommunikasjon og teknisk infrastruktur;Beredskapstjenester og Forsvaret;Grønne områder. idretts- og sportsområder;Uklassifisert bebyggelse og anlegg;Jordbruksareal;Skog;Åpen fastmark;Våtmark;Bart fjell. grus- og blokkmark;Varig snø. is og bre;Ferskvann;Uklassifisert ubebygd område
8;2020;3001;Halden;0.0149;0.0028;0.0039;0.0045;0.0005;0.0003;0.0003;0.0175;0.0;0.0012;0.0025;0.0958;0.7375;0.005;0.0332;0.0046;0.0;0.0753;0.0
17;2020;3002;Moss;0.0754;0.0134;0.0118;0.0266;0.0023;0.0015;0.0009;0.0562;0.0018;0.0108;0.0099;0.243;0.4354;0.0319;0.002;0.0036;0.0;0.0733;0.0
26;2020;3003;Sarpsborg;0.0344;0.0072;0.0086;0.0101;0.0012;0.0007;0.0005;0.0302;0.0;0.0046;0.0035;0.1925;0.5922;0.0206;0.0063;0.0049;0.0;0.0825;0.0
35;2020;3004;Fredrikstad;0.0681;0.0177;0.0105;0.0206;0.0021;0.0013;0.0009;0.0407;0.0009;0.0097;0.0085;0.2307;0.4668;0.0295;0.0013;0.0615;0.0;0.0294;0.0
44;2020;3005;Drammen;0.0574;0.0037;0.004;0.0145;0.002;0.0009;0.0007;0.0365;0.0;0.0107;0.0082;0.0819;0.7101;0.0084;0.0157;0.0037;0.0;0.0415;0.0
53;2020;3006;Kongsberg;0.0097;0.0028;0.003;0.0027;0.0005;1e-04;0.0002;0.0146;0.0004;0.0023;0.0017;0.0506;0.7776;0.0196;0.0405;0.0238;0.0;0.05;0.0
62;2020;3007;Ringerike;0.0071;0.0025;0.0027;0.0032;0.0002;0.0002;1e-04;0.0137;0.0002;0.0008;0.0014;0.0498;0.7659;0.0311;0.0327;0.0021;0.0;0.0863;0.0
71;2020;3011;Hvaler;0.0257;0.0648;0.0072;0.0038;0.0006;0.0002;0.0003;0.0217;0.0;0.0032;0.0022;0.0529;0.3577;0.066;0.002;0.3894;0.0;0.0023;0.0
80;2020;3012;Aremark;0.002;0.0023;0.0025;0.0009;1e-04;0.0;1e-04;0.0105;0.0;0.0005;0.0004;0.0654;0.7575;0.0034;0.0334;0.0003;0.0;0.1208;0.0
89;2020;3013;Marker;0.0033;0.0014;0.004;0.0011;1e-04;0.0;1e-04;0.0128;0.0;0.0003;0.0008;0.0969;0.7281;0.0048;0.0347;1e-04;0.0;0.1113;0.0
98;2020;3014;Indre;0.0167;0.0018;0.0108;0.0054;0.0006;0.0003;0.0003;0.0215;0.0;0.0031;0.0027;0.2976;0.5665;0.0118;0.0123;0.0002;0.0;0.0484;0.0
107;2020;3015;Skiptvet;0.0129;0.0041;0.0131;0.0019;0.0005;0.0003;0.0002;0.0184;0.0;0.001;0.0024;0.322;0.5316;0.0079;0.003;1e-04;0.0;0.0807;0.0
116;2020;3016;Rakkestad;0.0068;0.0007;0.0081;0.0026;0.0002;1e-04;0.0002;0.0153;0.0;0.0017;0.0016;0.2519;0.6444;0.008;0.0251;1e-04;0.0;0.0335;0.0
125;2020;3017;Råde;0.0225;0.0099;0.0132;0.0108;0.0007;0.0003;0.0003;0.0339;0.0019;0.0018;0.0029;0.2968;0.4483;0.0305;0.0042;0.0104;0.0;0.1117;0.0
134;2020;3018;Våler;0.0075;0.0016;0.0055;0.0011;0.0003;1e-04;1e-04;0.013;0.0;0.0011;0.0013;0.1359;0.7447;0.0087;0.0088;1e-04;0.0;0.0701;0.0
143;2020;3019;Vestby;0.0317;0.0152;0.0101;0.0186;0.0015;0.0004;0.0002;0.038;0.0;0.0051;0.0052;0.2603;0.5783;0.0277;0.0009;0.0016;0.0;0.0052;0.0
152;2020;3020;Nordre;0.0582;0.0025;0.0073;0.013;0.0023;0.0007;0.0005;0.0393;0.0003;0.0089;0.007;0.1918;0.6109;0.0168;0.0054;0.0003;0.0;0.0346;0.0
161;2020;3021;Ås;0.0454;0.0056;0.0134;0.0127;0.0053;0.0009;0.0006;0.0426;1e-04;0.0055;0.0077;0.3669;0.4472;0.0231;0.0029;0.0003;0.0;0.0201;0.0
170;2020;3022;Frogn;0.0417;0.0481;0.0084;0.0049;0.0013;0.0005;0.0006;0.0368;0.0013;0.0082;0.006;0.1784;0.633;0.0144;0.0015;0.0015;0.0;0.0137;0.0
179;2020;3023;Nesodden;0.0922;0.0275;0.0075;0.0086;0.0028;0.0015;0.001;0.042;0.0002;0.0039;0.0101;0.0823;0.6864;0.0135;0.0041;0.0034;0.0;0.0132;0.0
188;2020;3024;Bærum;0.1186;0.0043;0.0056;0.0163;0.0055;0.0019;0.0009;0.0529;0.0011;0.0231;0.0132;0.0747;0.6255;0.0281;0.0041;0.0022;0.0;0.0218;0.0
197;2020;3025;Asker;0.0661;0.012;0.0063;0.011;0.0024;0.0011;0.0005;0.0368;1e-04;0.0071;0.0106;0.1079;0.6758;0.0149;0.0046;0.007;0.0;0.0357;0.0
206;2020;3026;Aurskog-Høland;0.0064;0.0013;0.0033;0.0016;0.0002;1e-04;1e-04;0.0119;0.0;0.001;0.001;0.0909;0.7491;0.0042;0.0469;0.0;0.0;0.082;0.0
215;2020;3027;Rælingen;0.0456;0.0018;0.0022;0.0025;0.002;0.0004;0.0003;0.0225;0.0007;0.0056;0.0067;0.0873;0.5908;0.0113;0.0088;1e-04;0.0;0.2114;0.0
224;2020;3028;Enebakk;0.0137;0.0044;0.0046;0.0036;0.0004;1e-04;1e-04;0.0138;0.0;0.0028;0.0026;0.1306;0.6454;0.0068;0.0092;0.0004;0.0;0.1614;0.0
233;2020;3029;Lørenskog;0.0819;0.0003;0.0043;0.0206;0.0048;0.0028;0.0007;0.0437;0.0004;0.0198;0.0111;0.0833;0.657;0.0166;0.0037;0.0003;0.0;0.0488;0.0
242;2020;3030;Lillestrøm;0.0334;0.0015;0.0075;0.0125;0.0017;0.0006;0.0004;0.0299;0.0007;0.0041;0.004;0.257;0.5137;0.0218;0.0086;0.0004;0.0;0.1024;0.0
251;2020;3031;Nittedal;0.0281;0.0028;0.0043;0.008;0.0014;0.0002;0.0003;0.0226;0.0;0.0104;0.0039;0.0913;0.756;0.0089;0.0216;0.0009;0.0;0.0391;0.0
