Kommune;År;Boligbebyggelse;Fritidsbebyggelse;Bebygd område for landbruk og fiske;Næring. offentlig og privat tjenesteyting;Undervisning og barnehage;Helse- og sosialinstitusjoner;Kultur og religiøse aktiviteter;Transport. telekommunikasjon og teknisk infrastruktur;Beredskapstjenester og Forsvaret;Grønne områder. idretts- og sportsområder;Uklassifisert bebyggelse og anlegg;Jordbruksareal;Skog;Åpen fastmark;Våtmark;Bart fjell. grus- og blokkmark;Varig snø. is og bre;Ferskvann;Uklassifisert ubebygd område
3001 Halden;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3001 Halden;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3001 Halden;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3001 Halden;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3001 Halden;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3001 Halden;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3001 Halden;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3001 Halden;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3001 Halden;2020;9.56;1.82;2.52;2.89;0.30;0.22;0.22;11.27;0.03;0.78;1.58;61.56;473.83;3.22;21.31;2.95;0.00;48.38;0.00
3002 Moss;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3002 Moss;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3002 Moss;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3002 Moss;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3002 Moss;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3002 Moss;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3002 Moss;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3002 Moss;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3002 Moss;2020;10.40;1.85;1.63;3.67;0.32;0.21;0.13;7.74;0.25;1.49;1.36;33.50;60.02;4.40;0.27;0.49;0.00;10.11;0.00
3003 Sarpsborg;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3003 Sarpsborg;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3003 Sarpsborg;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3003 Sarpsborg;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3003 Sarpsborg;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
