;År;Kommunenr;Kommunenavn;Boligbebyggelse;Fritidsbebyggelse;Bebygd område for landbruk og fiske;Næring. offentlig og privat tjenesteyting;Undervisning og barnehage;Helse- og sosialinstitusjoner;Kultur og religiøse aktiviteter;Transport. telekommunikasjon og teknisk infrastruktur;Beredskapstjenester og Forsvaret;Grønne områder. idretts- og sportsområder;Uklassifisert bebyggelse og anlegg;Jordbruksareal;Skog;Åpen fastmark;Våtmark;Bart fjell. grus- og blokkmark;Varig snø. is og bre;Ferskvann;Uklassifisert ubebygd område
0;2011;3001;Halden;;;;;;;;;;;;;;;;;;;
1;2013;3001;Halden;;;;;;;;;;;;;;;;;;;
2;2014;3001;Halden;;;;;;;;;;;;;;;;;;;
3;2015;3001;Halden;;;;;;;;;;;;;;;;;;;
4;2016;3001;Halden;;;;;;;;;;;;;;;;;;;
5;2017;3001;Halden;;;;;;;;;;;;;;;;;;;
6;2018;3001;Halden;;;;;;;;;;;;;;;;;;;
7;2019;3001;Halden;;;;;;;;;;;;;;;;;;;
8;2020;3001;Halden;0.0149;0.0028;0.0039;0.0045;0.0005;0.0003;0.0003;0.0175;0.0;0.0012;0.0025;0.0958;0.7375;0.005;0.0332;0.0046;0.0;0.0753;0.0
9;2011;3002;Moss;;;;;;;;;;;;;;;;;;;
10;2013;3002;Moss;;;;;;;;;;;;;;;;;;;
11;2014;3002;Moss;;;;;;;;;;;;;;;;;;;
12;2015;3002;Moss;;;;;;;;;;;;;;;;;;;
13;2016;3002;Moss;;;;;;;;;;;;;;;;;;;
14;2017;3002;Moss;;;;;;;;;;;;;;;;;;;
15;2018;3002;Moss;;;;;;;;;;;;;;;;;;;
16;2019;3002;Moss;;;;;;;;;;;;;;;;;;;
17;2020;3002;Moss;0.0754;0.0134;0.0118;0.0266;0.0023;0.0015;0.0009;0.0562;0.0018;0.0108;0.0099;0.243;0.4354;0.0319;0.002;0.0036;0.0;0.0733;0.0
18;2011;3003;Sarpsborg;;;;;;;;;;;;;;;;;;;
19;2013;3003;Sarpsborg;;;;;;;;;;;;;;;;;;;
20;2014;3003;Sarpsborg;;;;;;;;;;;;;;;;;;;
21;2015;3003;Sarpsborg;;;;;;;;;;;;;;;;;;;
22;2016;3003;Sarpsborg;;;;;;;;;;;;;;;;;;;
23;2017;3003;Sarpsborg;;;;;;;;;;;;;;;;;;;
24;2018;3003;Sarpsborg;;;;;;;;;;;;;;;;;;;
25;2019;3003;Sarpsborg;;;;;;;;;;;;;;;;;;;
26;2020;3003;Sarpsborg;0.0344;0.0072;0.0086;0.0101;0.0012;0.0007;0.0005;0.0302;0.0;0.0046;0.0035;0.1925;0.5922;0.0206;0.0063;0.0049;0.0;0.0825;0.0
27;2011;3004;Fredrikstad;;;;;;;;;;;;;;;;;;;
28;2013;3004;Fredrikstad;;;;;;;;;;;;;;;;;;;
29;2014;3004;Fredrikstad;;;;;;;;;;;;;;;;;;;
30;2015;3004;Fredrikstad;;;;;;;;;;;;;;;;;;;
31;2016;3004;Fredrikstad;;;;;;;;;;;;;;;;;;;
32;2017;3004;Fredrikstad;;;;;;;;;;;;;;;;;;;
33;2018;3004;Fredrikstad;;;;;;;;;;;;;;;;;;;
34;2019;3004;Fredrikstad;;;;;;;;;;;;;;;;;;;
35;2020;3004;Fredrikstad;0.0681;0.0177;0.0105;0.0206;0.0021;0.0013;0.0009;0.0407;0.0009;0.0097;0.0085;0.2307;0.4668;0.0295;0.0013;0.0615;0.0;0.0294;0.0
36;2011;3005;Drammen;;;;;;;;;;;;;;;;;;;
37;2013;3005;Drammen;;;;;;;;;;;;;;;;;;;
38;2014;3005;Drammen;;;;;;;;;;;;;;;;;;;
39;2015;3005;Drammen;;;;;;;;;;;;;;;;;;;
40;2016;3005;Drammen;;;;;;;;;;;;;;;;;;;
41;2017;3005;Drammen;;;;;;;;;;;;;;;;;;;
42;2018;3005;Drammen;;;;;;;;;;;;;;;;;;;
43;2019;3005;Drammen;;;;;;;;;;;;;;;;;;;
44;2020;3005;Drammen;0.0574;0.0037;0.004;0.0145;0.002;0.0009;0.0007;0.0365;0.0;0.0107;0.0082;0.0819;0.7101;0.0084;0.0157;0.0037;0.0;0.0415;0.0
45;2011;3006;Kongsberg;;;;;;;;;;;;;;;;;;;
46;2013;3006;Kongsberg;;;;;;;;;;;;;;;;;;;
47;2014;3006;Kongsberg;;;;;;;;;;;;;;;;;;;
48;2015;3006;Kongsberg;;;;;;;;;;;;;;;;;;;
49;2016;3006;Kongsberg;;;;;;;;;;;;;;;;;;;
50;2017;3006;Kongsberg;;;;;;;;;;;;;;;;;;;
51;2018;3006;Kongsberg;;;;;;;;;;;;;;;;;;;
52;2019;3006;Kongsberg;;;;;;;;;;;;;;;;;;;
53;2020;3006;Kongsberg;0.0097;0.0028;0.003;0.0027;0.0005;1e-04;0.0002;0.0146;0.0004;0.0023;0.0017;0.0506;0.7776;0.0196;0.0405;0.0238;0.0;0.05;0.0
54;2011;3007;Ringerike;;;;;;;;;;;;;;;;;;;
55;2013;3007;Ringerike;;;;;;;;;;;;;;;;;;;
56;2014;3007;Ringerike;;;;;;;;;;;;;;;;;;;
57;2015;3007;Ringerike;;;;;;;;;;;;;;;;;;;
58;2016;3007;Ringerike;;;;;;;;;;;;;;;;;;;
59;2017;3007;Ringerike;;;;;;;;;;;;;;;;;;;
60;2018;3007;Ringerike;;;;;;;;;;;;;;;;;;;
61;2019;3007;Ringerike;;;;;;;;;;;;;;;;;;;
62;2020;3007;Ringerike;0.0071;0.0025;0.0027;0.0032;0.0002;0.0002;1e-04;0.0137;0.0002;0.0008;0.0014;0.0498;0.7659;0.0311;0.0327;0.0021;0.0;0.0863;0.0
63;2011;3011;Hvaler;;;;;;;;;;;;;;;;;;;
64;2013;3011;Hvaler;;;;;;;;;;;;;;;;;;;
65;2014;3011;Hvaler;;;;;;;;;;;;;;;;;;;
66;2015;3011;Hvaler;;;;;;;;;;;;;;;;;;;
67;2016;3011;Hvaler;;;;;;;;;;;;;;;;;;;
68;2017;3011;Hvaler;;;;;;;;;;;;;;;;;;;
69;2018;3011;Hvaler;;;;;;;;;;;;;;;;;;;
70;2019;3011;Hvaler;;;;;;;;;;;;;;;;;;;
