;År;Kommunenr;Kommunenavn;Arbeiderpartiet;Fremskrittspartiet;Høyre;Kristelig Folkeparti;Senterpartiet;Sosialistisk Venstreparti;Venstre;Miljøpartiet de Grønne;Rødt;Andre lister;stemmer totalt;Arbeiderpartiet-prosent;Fremskrittspartiet-prosent;Høyre-prosent;Kristelig Folkeparti-prosent;Senterpartiet-prosent;Sosialistisk Venstreparti-prosent;Venstre-prosent;Miljøpartiet de Grønne-prosent;Rødt-prosent;Andre lister-prosent
0;1975;3001;Halden;7735;0;2140;1999;1008;649;242;0;0;0;13773;0.562;0.0;0.155;0.145;0.073;0.047;0.018;0.0;0.0;0.0
1;1975;3002;Moss;7876;0;5659;1308;1006;899;215;0;0;0;16963;0.464;0.0;0.334;0.077;0.059;0.053;0.013;0.0;0.0;0.0
2;1975;3003;Sarpsborg;11652;0;3436;3269;1333;1312;579;0;0;0;21581;0.54;0.0;0.159;0.151;0.062;0.061;0.027;0.0;0.0;0.0
3;1975;3004;Fredrikstad;17015;0;7430;4104;1582;2057;901;0;0;0;33089;0.514;0.0;0.225;0.124;0.048;0.062;0.027;0.0;0.0;0.0
4;1975;3005;Drammen;17214;0;10570;3230;1347;2233;459;0;0;0;35053;0.491;0.0;0.302;0.092;0.038;0.064;0.013;0.0;0.0;0.0
5;1975;3006;Kongsberg;4659;0;2084;701;1016;532;513;0;0;0;9505;0.49;0.0;0.219;0.074;0.107;0.056;0.054;0.0;0.0;0.0
6;1975;3007;Ringerike;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;1975;3011;Hvaler;496;0;435;182;143;44;16;0;0;0;1316;0.377;0.0;0.331;0.138;0.109;0.033;0.012;0.0;0.0;0.0
8;1975;3012;Aremark;324;0;47;196;179;11;7;0;0;0;764;0.424;0.0;0.062;0.257;0.234;0.014;0.009;0.0;0.0;0.0
9;1975;3013;Marker;779;0;156;473;416;32;13;0;0;0;1869;0.417;0.0;0.083;0.253;0.223;0.017;0.007;0.0;0.0;0.0
