År;Kommune;Arbeiderpartiet;Fremskrittspartiet;Høyre;Kristelig Folkeparti;Senterpartiet;Sosialistisk Venstreparti;Venstre;Miljøpartiet de Grønne;Rødt;Andre lister
1975;K-3001 Halden;7735;0;2140;1999;1008;649;242;0;0;0
1975;K-3002 Moss;7876;0;5659;1308;1006;899;215;0;0;0
1975;K-3003 Sarpsborg;11652;0;3436;3269;1333;1312;579;0;0;0
1975;K-3004 Fredrikstad;17015;0;7430;4104;1582;2057;901;0;0;0
1975;K-3005 Drammen;17214;0;10570;3230;1347;2233;459;0;0;0
1975;K-3006 Kongsberg;4659;0;2084;701;1016;532;513;0;0;0
1975;K-3007 Ringerike;0;0;0;0;0;0;0;0;0;0
1975;K-3011 Hvaler;496;0;435;182;143;44;16;0;0;0
1975;K-3012 Aremark;324;0;47;196;179;11;7;0;0;0
1975;K-3013 Marker;779;0;156;473;416;32;13;0;0;0
1975;K-3014 Indre Østfold;5729;0;2436;2389;3299;525;571;0;0;0
1975;K-3015 Skiptvet;453;0;106;241;413;27;66;0;0;0
1975;K-3016 Rakkestad;1356;0;378;884;987;28;76;0;0;0
1975;K-3017 Råde;977;0;368;494;532;47;16;0;0;0
1975;K-3018 Våler (Viken);282;0;251;152;328;76;55;0;0;0
1975;K-3019 Vestby;1310;0;1021;237;589;175;41;0;0;0
1975;K-3020 Nordre Follo;4926;0;6019;1156;932;1014;498;0;0;0
1975;K-3021 Ås;1373;0;1032;395;1356;330;244;0;0;0
1975;K-3022 Frogn;1229;0;1452;221;515;160;163;0;0;0
1975;K-3023 Nesodden;1319;0;1513;461;198;353;186;0;0;0
1975;K-3024 Bærum;9146;0;22103;2291;1241;2158;1790;0;0;0
1975;K-3025 Asker;8448;0;9349;1851;1669;1708;1022;0;0;0
1975;K-3026 Aurskog-Høland;3238;0;637;897;1171;210;119;0;0;0
1975;K-3027 Rælingen;2145;0;1272;347;260;328;142;0;0;0
1975;K-3028 Enebakk;1125;0;494;215;391;159;92;0;0;0
1975;K-3029 Lørenskog;3891;0;2249;647;414;744;297;0;0;0
1975;K-3030 Lillestrøm;11860;0;5054;1737;2309;1792;689;0;0;0
1975;K-3031 Nittedal;2402;0;1337;318;401;382;740;0;0;0
1975;K-3032 Gjerdrum;561;0;232;145;418;38;16;0;0;0
1975;K-3033 Ullensaker;3155;0;1628;490;1154;256;191;0;0;0
1975;K-3034 Nes;3576;0;650;494;1202;387;114;0;0;0
1975;K-3035 Eidsvoll;3967;0;885;535;986;463;179;0;0;0
1975;K-3036 Nannestad;1647;0;317;301;786;178;63;0;0;0
1975;K-3037 Hurdal;595;0;68;268;217;32;103;0;0;0
1975;K-3038 Hole;0;0;0;0;0;0;0;0;0;0
1975;K-3039 Flå;416;0;135;72;119;10;5;0;0;0
1975;K-3040 Nesbyen;851;0;281;256;286;25;88;0;0;0
1975;K-3041 Gol;462;0;326;267;516;46;148;0;0;0
1975;K-3042 Hemsedal;126;0;149;172;271;9;49;0;0;0
1975;K-3043 Ål;652;0;422;360;491;47;264;0;0;0
1975;K-3044 Hol;759;0;475;212;341;49;172;0;0;0
1975;K-3045 Sigdal;689;0;282;94;862;30;17;0;0;0
1975;K-3046 Krødsherad;629;0;206;76;239;96;5;0;0;0
1975;K-3047 Modum;3258;0;745;438;1046;487;36;0;0;0
1975;K-3048 Øvre Eiker;2966;0;1140;543;1297;464;90;0;0;0
1975;K-3049 Lier;3790;0;2521;486;1189;400;194;0;0;0
1975;K-3050 Flesberg;424;0;219;74;403;17;38;0;0;0
1975;K-3051 Rollag;296;0;90;125;263;22;19;0;0;0
1975;K-3052 Nore og Uvdal;687;0;200;156;437;28;15;0;0;0
1975;K-3053 Jevnaker;1627;0;287;229;229;341;26;0;0;0
1975;K-3054 Lunner;1587;0;299;273;603;192;52;0;0;0
1975;K-0301 Oslo;99807;0;104664;19476;4164;16781;5468;0;0;4469
1975;K-3401 Kongsvinger;4464;0;874;404;836;692;130;0;0;35
1975;K-3403 Hamar;7797;0;2585;924;889;823;312;0;0;14
1975;K-3405 Lillehammer;4841;0;2050;936;1329;793;296;0;0;0
1975;K-3407 Gjøvik;8040;0;1604;1387;1507;579;439;0;0;0
1975;K-3411 Ringsaker;9134;0;1547;846;2529;570;173;0;0;70
1975;K-3412 Løten;2267;0;229;96;592;332;17;0;0;9
1975;K-3413 Stange;5632;0;739;488;1146;733;57;0;0;16
1975;K-3414 Nord-Odal;2008;0;118;125;302;350;12;0;0;20
1975;K-3415 Sør-Odal;2455;0;285;154;562;313;21;0;0;21
1975;K-3416 Eidskog;2026;0;254;285;572;253;23;0;0;12
1975;K-3417 Grue;1993;0;242;161;569;336;21;0;0;21
1975;K-3418 Åsnes;2186;0;351;320;644;1031;25;0;0;45
1975;K-3419 Våler (Innlandet);1153;0;254;111;373;395;10;0;0;24
1975;K-3420 Elverum;3662;0;1176;372;1382;711;152;0;0;47
1975;K-3421 Trysil;2023;0;248;335;936;347;46;0;0;17
1975;K-3422 Åmot;1130;0;246;63;398;626;34;0;0;14
1975;K-3423 Stor-Elvdal;1281;0;182;49;347;197;16;0;0;8
1975;K-3424 Rendalen;1066;0;78;31;458;111;14;0;0;18
1975;K-3425 Engerdal;486;0;98;25;298;12;33;0;0;0
1975;K-3426 Tolga;264;0;32;44;576;12;18;0;0;23
1975;K-3427 Tynset;882;0;219;172;1087;93;81;0;0;2
1975;K-3428 Alvdal;534;0;43;74;577;23;35;0;0;9
1975;K-3429 Folldal;630;0;35;48;482;19;13;0;0;5
1975;K-3430 Os;390;0;14;78;399;29;15;0;0;1
1975;K-3431 Dovre;874;0;117;58;457;21;19;0;0;0
1975;K-3432 Lesja;376;0;55;113;556;18;21;0;0;0
1975;K-3433 Skjåk;638;0;23;58;560;48;32;0;0;0
1975;K-3434 Lom;639;0;50;75;478;41;46;0;0;0
1975;K-3435 Vågå;1321;0;112;57;562;118;28;0;0;0
1975;K-3436 Nord-Fron;0;0;0;0;0;0;0;0;0;0
1975;K-3437 Sel;2058;0;244;134;513;125;41;0;0;0
1975;K-3438 Sør-Fron;0;0;0;0;0;0;0;0;0;0
1975;K-3439 Ringebu;1397;0;232;194;663;118;117;0;0;0
1975;K-3440 Øyer;1045;0;182;170;704;37;58;0;0;0
1975;K-3441 Gausdal;1839;0;123;265;868;201;85;0;0;0
1975;K-3442 Østre Toten;3556;0;460;638;1625;278;205;0;0;0
1975;K-3443 Vestre Toten;3798;0;482;596;884;375;164;0;0;0
1975;K-3446 Gran;2881;0;552;513;1493;421;156;0;0;0
1975;K-3447 Søndre Land;2273;0;223;153;431;279;49;0;0;0
1975;K-3448 Nordre Land;2163;0;235;263;538;69;99;0;0;0
1975;K-3449 Sør-Aurdal;868;0;124;206;454;51;57;0;0;0
1975;K-3450 Etnedal;364;0;51;175;210;34;62;0;0;0
1975;K-3451 Nord-Aurdal;1150;0;412;507;743;63;44;0;0;0
1975;K-3452 Vestre Slidre;415;0;64;121;459;17;29;0;0;0
1975;K-3453 Øystre Slidre;512;0;112;123;508;33;111;0;0;0
1975;K-3454 Vang;191;0;63;60;486;10;16;0;0;0
1975;K-3801 Horten;4327;0;3875;827;429;420;293;0;0;0
1975;K-3802 Holmestrand;4177;0;1401;670;1272;284;143;0;0;0
1975;K-3803 Tønsberg;6314;0;6388;2128;1906;757;450;0;0;0
1975;K-3804 Sandefjord;6237;0;7434;2340;1808;633;859;0;0;0
1975;K-3805 Larvik;7468;0;3889;2442;1957;1019;1334;0;0;0
1975;K-3806 Porsgrunn;6348;0;2338;2021;462;1404;754;0;0;0
1975;K-3807 Skien;8712;0;3765;3444;1053;1861;1004;0;0;0
1975;K-3808 Notodden;3694;0;677;961;531;428;220;0;0;0
1975;K-3811 Færder;2796;0;4414;798;439;388;187;0;0;0
1975;K-3812 Siljan;382;0;65;171;150;22;65;0;0;0
1975;K-3813 Bamble;1940;0;510;678;345;331;189;0;0;0
1975;K-3814 Kragerø;1867;0;893;918;394;367;405;0;0;0
1975;K-3815 Drangedal;971;0;126;469;313;108;153;0;0;0
1975;K-3816 Nome;1465;0;331;548;551;451;131;0;0;0
1975;K-3817 Midt-Telemark;1574;0;308;593;684;213;510;0;0;0
1975;K-3818 Tinn;2438;0;601;277;523;312;192;0;0;0
1975;K-3819 Hjartdal;312;0;37;189;253;18;17;0;0;0
1975;K-3820 Seljord;530;0;118;359;266;69;98;0;0;0
1975;K-3821 Kviteseid;615;0;91;281;273;72;91;0;0;0
1975;K-3822 Nissedal;304;0;46;246;110;23;50;0;0;0
1975;K-3823 Fyresdal;447;0;30;92;157;21;41;0;0;0
1975;K-3824 Tokke;697;0;145;217;259;62;54;0;0;0
1975;K-3825 Vinje;676;0;86;305;537;182;45;0;0;0
1975;K-4201 Risør;1084;0;560;668;230;54;229;0;0;0
1975;K-4202 Grimstad;1343;0;1328;1389;631;111;216;0;0;0
1975;K-4203 Arendal;5438;0;3489;2635;864;456;527;0;0;0
1975;K-4204 Kristiansand;7566;0;7222;7392;1593;1115;1883;0;0;225
1975;K-4205 Lindesnes;1745;0;1672;1444;1101;275;361;0;0;291
1975;K-4206 Farsund;587;0;1469;765;242;92;189;0;0;214
1975;K-4207 Flekkefjord;816;0;825;978;491;106;310;0;0;26
1975;K-4211 Gjerstad;519;0;106;218;149;48;69;0;0;0
1975;K-4212 Vegårshei;373;0;65;269;104;24;20;0;0;0
1975;K-4213 Tvedestrand;791;0;446;659;294;45;75;0;0;0
1975;K-4214 Froland;638;0;72;341;242;67;103;0;0;0
1975;K-4215 Lillesand;540;0;924;556;284;116;144;0;0;0
1975;K-4216 Birkenes;416;0;155;389;474;24;39;0;0;0
1975;K-4217 Åmli;546;0;40;147;204;60;24;0;0;0
1975;K-4218 Iveland;109;0;25;84;124;5;22;0;0;0
1975;K-4219 Evje og Hornnes;657;0;235;298;212;61;63;0;0;0
1975;K-4220 Bygland;231;0;28;137;311;7;10;0;0;0
1975;K-4221 Valle;253;0;18;127;306;39;11;0;0;0
1975;K-4222 Bykle;74;0;13;50;70;7;2;0;0;0
1975;K-4223 Vennesla;1824;0;344;1315;469;204;191;0;0;40
1975;K-4224 Åseral;65;0;83;89;193;1;18;0;0;7
1975;K-4225 Lyngdal;575;0;747;769;661;35;85;0;0;34
1975;K-4226 Hægebostad;127;0;161;214;108;5;13;0;0;172
1975;K-4227 Kvinesdal;431;0;396;801;169;87;128;0;0;99
1975;K-4228 Sirdal;134;0;74;122;366;6;68;0;0;21
1975;K-1101 Eigersund;1303;0;991;1099;618;150;211;0;0;0
1975;K-1103 Stavanger;14994;0;11466;7037;2116;1953;833;0;0;0
1975;K-1106 Haugesund;4301;0;2817;2195;481;401;473;0;0;0
1975;K-1108 Sandnes;4884;0;3169;3376;1597;537;363;0;0;0
1975;K-1111 Sokndal;311;0;391;405;290;71;18;0;0;0
1975;K-1112 Lund;336;0;222;374;354;19;11;0;0;0
1975;K-1114 Bjerkreim;50;0;102;263;455;5;18;0;0;0
1975;K-1119 Hå;674;0;564;1512;1224;92;130;0;0;0
1975;K-1120 Klepp;686;0;608;869;1049;74;105;0;0;0
1975;K-1121 Time;850;0;715;829;984;87;88;0;0;0
1975;K-1122 Gjesdal;604;0;326;487;496;64;39;0;0;0
1975;K-1124 Sola;972;0;1294;767;722;62;45;0;0;0
1975;K-1127 Randaberg;537;0;438;599;520;43;29;0;0;0
1975;K-1130 Strand;683;0;338;1028;356;152;122;0;0;0
1975;K-1133 Hjelmeland;81;0;117;414;450;19;29;0;0;0
1975;K-1134 Suldal;339;0;139;503;478;60;171;0;0;0
1975;K-1135 Sauda;1327;0;281;514;269;211;148;0;0;0
1975;K-1144 Kvitsøy;44;0;71;115;15;1;0;0;0;0
1975;K-1145 Bokn;14;0;36;48;197;9;0;0;0;0
1975;K-1146 Tysvær;414;0;252;934;476;67;259;0;0;0
1975;K-1149 Karmøy;2825;0;1633;3547;912;329;619;0;0;0
